Region,Division,State,FIPS,Swing,Electoral Vote,Clinton (D),Trump (R),Others,"Clinton (D, %)","Trump (R, %)",Others (%),Dem '12 Margin,Dem '16 Margin,Margin Shift,Total '12 Votes,Total '16 Votes,Raw Votes vs. '12
West,Mountain,Arizona,4,1,11,"1,161,167","1,252,401","159,597",45.1,48.7,6.2,-9.1,-3.5,5.5,"2,299,254","2,573,165",11.9
West,Mountain,Colorado,8,1,9,"1,338,870","1,202,484","238,866",48.2,43.3,8.6,5.4,4.9,-0.5,"2,569,521","2,780,220",8.2
South,South Atlantic,Florida,12,1,29,"4,504,975","4,617,886","297,178",47.8,49,3.2,0.9,-1.2,-2.1,"8,474,179","9,420,039",11.2
Midwest,West North Central,Iowa,19,1,6,"653,669","800,983","111,379",41.7,51.1,7.1,5.8,-9.4,-15.2,"1,582,180","1,566,031",-1
Northeast,New England,Maine,23,1,4,"357,735","335,593","54,599",47.8,44.9,7.3,15.3,3,-12.3,"713,180","747,927",4.9
Midwest,East North Central,Michigan,26,1,16,"2,268,839","2,279,543","250,902",47.3,47.5,5.2,9.5,-0.2,-9.7,"4,730,961","4,799,284",1.4
Midwest,West North Central,Minnesota,27,1,10,"1,367,716","1,322,951","254,146",46.4,44.9,8.6,7.7,1.5,-6.2,"2,936,561","2,944,813",0.3
West,Mountain,Nevada,32,1,6,"539,260","512,058","74,067",47.9,45.5,6.6,6.7,2.4,-4.3,"1,014,918","1,125,385",10.9
Northeast,New England,New Hampshire,33,1,4,"348,526","345,790","49,842",46.8,46.5,6.7,5.6,0.4,-5.2,"710,972","744,158",4.7
South,South Atlantic,North Carolina,37,1,15,"2,189,316","2,362,631","189,617",46.2,49.8,4,-2,-3.7,-1.6,"4,505,372","4,741,564",5.2
Midwest,East North Central,Ohio,39,1,18,"2,394,164","2,841,005","261,318",43.6,51.7,4.8,3,-8.1,-11.1,"5,580,840","5,496,487",-1.5
Northeast,Middle Atlantic,Pennsylvania,42,1,20,"2,926,441","2,970,733","218,228",47.9,48.6,3.6,5.4,-0.7,-6.1,"5,753,546","6,115,402",6.3
Midwest,East North Central,Wisconsin,55,1,10,"1,382,536","1,405,284","188,330",46.5,47.2,6.3,6.9,-0.8,-7.7,"3,068,434","2,976,150",-3
South,East South Central,Alabama,1,0,9,"729,547","1,318,255","75,570",34.4,62.1,3.6,-22.2,-27.7,-5.5,"2,074,338","2,123,372",2.4
West,Pacific,Alaska,2,0,3,"116,454","163,387","38,767",36.6,51.3,12.2,-14,-14.7,-0.7,"300,495","318,608",6
South,West South Central,Arkansas,5,0,6,"380,494","684,872","65,269",33.7,60.6,5.8,-23.7,-26.9,-3.2,"1,069,468","1,130,635",5.7
West,Pacific,California,6,0,55,"8,753,788","4,483,810","943,997",61.7,31.6,6.7,23.1,30.1,7,"13,038,547","14,181,595",8.8
Northeast,New England,Connecticut,9,0,7,"897,572","673,215","74,133",54.6,40.9,4.5,17.3,13.6,-3.7,"1,558,114","1,644,920",5.6
South,South Atlantic,Delaware,10,0,3,"235,603","185,127","20,860",53.4,41.9,4.7,18.6,11.4,-7.2,"413,890","441,590",6.7
South,South Atlantic,District of Columbia,11,0,3,"282,830","12,723","15,715",90.9,4.1,5,83.6,86.8,3.1,"293,764","311,268",6
South,South Atlantic,Georgia,13,0,16,"1,877,963","2,089,104","125,306",45.9,51,3.1,-7.8,-5.2,2.7,"3,900,050","4,092,373",4.9
West,Pacific,Hawaii,15,0,4,"266,891","128,847","33,199",62.2,30,7.7,42.7,32.2,-10.5,"434,697","428,937",-1.3
West,Mountain,Idaho,16,0,4,"189,765","409,055","91,435",27.5,59.3,13.2,-31.9,-31.8,0.1,"652,274","690,255",5.8
Midwest,East North Central,Illinois,17,0,20,"3,090,729","2,146,015","299,680",55.8,38.8,5.4,16.9,17.1,0.2,"5,242,014","5,536,424",5.6
Midwest,East North Central,Indiana,18,0,11,"1,033,126","1,557,286","144,546",37.8,56.9,5.3,-10.2,-19.2,-9,"2,624,534","2,734,958",4.2
Midwest,West North Central,Kansas,20,0,6,"427,005","671,018","86,379",36.1,56.7,7.3,-21.7,-20.6,1.1,"1,159,971","1,184,402",2.1
South,East South Central,Kentucky,21,0,8,"628,854","1,202,971","92,324",32.7,62.5,4.8,-22.7,-29.8,-7.1,"1,797,212","1,924,149",7.1
South,West South Central,Louisiana,22,0,8,"780,154","1,178,638","70,240",38.4,58.1,3.5,-17.2,-19.6,-2.4,"1,994,065","2,029,032",1.8
South,South Atlantic,Maryland,24,0,10,"1,677,928","943,169","160,349",60.3,33.9,5.8,26.1,26.4,0.3,"2,707,327","2,781,446",2.7
Northeast,New England,Massachusetts,25,0,11,"1,995,196","1,090,893","238,957",60,32.8,7.2,23.1,27.2,4.1,"3,167,767","3,325,046",5
South,East South Central,Mississippi,28,0,6,"485,131","700,714","23,512",40.1,57.9,1.9,-11.5,-17.8,-6.3,"1,285,584","1,209,357",-5.9
Midwest,West North Central,Missouri,29,0,10,"1,071,068","1,594,511","143,026",38.1,56.8,5.1,-9.4,-18.6,-9.3,"2,757,323","2,808,605",1.9
West,Mountain,Montana,30,0,3,"177,709","279,240","40,198",35.7,56.2,8.1,-13.7,-20.4,-6.8,"484,048","497,147",2.7
Midwest,West North Central,Nebraska,31,0,5,"284,494","495,961","63,772",33.7,58.7,7.6,-21.8,-25,-3.3,"794,379","844,227",6.3
Northeast,Middle Atlantic,New Jersey,34,0,14,"2,148,278","1,601,933","123,835",55.5,41.4,3.2,17.8,14.1,-3.7,"3,640,292","3,874,046",6.4
West,Mountain,New Mexico,35,0,5,"385,234","319,666","93,418",48.3,40,11.7,10.1,8.2,-1.9,"783,758","798,318",1.9
Northeast,Middle Atlantic,New York,36,0,29,"4,556,124","2,819,534","345,795",59,36.5,4.5,28.2,22.5,-5.7,"7,072,083","7,721,453",9.2
Midwest,West North Central,North Dakota,38,0,3,"93,758","216,794","33,808",27.2,63,9.8,-19.6,-35.7,-16.1,"322,932","344,360",6.6
South,West South Central,Oklahoma,40,0,7,"420,375","949,136","83,481",28.9,65.3,5.7,-33.5,-36.4,-2.8,"1,334,872","1,452,992",8.8
West,Pacific,Oregon,41,0,7,"1,002,106","782,403","216,827",50.1,39.1,10.8,12.1,11,-1.1,"1,789,270","2,001,336",11.9
Northeast,New England,Rhode Island,44,0,4,"252,525","180,543","31,076",54.4,38.9,6.7,27.5,15.5,-11.9,"446,049","464,144",4.1
South,South Atlantic,South Carolina,45,0,9,"855,373","1,155,389","92,265",40.7,54.9,4.4,-10.5,-14.3,-3.8,"1,964,118","2,103,027",7.1
Midwest,West North Central,South Dakota,46,0,3,"117,458","227,721","24,914",31.7,61.5,6.7,-18,-29.8,-11.8,"363,815","370,093",1.7
South,East South Central,Tennessee,47,0,11,"870,695","1,522,925","114,407",34.7,60.7,4.6,-20.4,-26,-5.6,"2,458,577","2,508,027",2
South,West South Central,Texas,48,0,38,"3,877,868","4,685,047","406,311",43.2,52.2,4.5,-15.8,-9,6.8,"7,993,851","8,969,226",12.2
West,Mountain,Utah,49,0,6,"310,676","515,231","305,523",27.5,45.5,27,-48,-18.1,30,"1,017,440","1,131,430",11.2
Northeast,New England,Vermont,50,0,3,"178,573","95,369","41,125",56.7,30.3,13.1,35.6,26.4,-9.2,"299,290","315,067",5.3
South,South Atlantic,Virginia,51,0,13,"1,981,473","1,769,443","231,836",49.8,44.4,5.8,3.9,5.3,1.5,"3,854,489","3,982,752",3.3
West,Pacific,Washington,53,0,12,"1,742,718","1,221,747","401,179",51.8,36.3,11.9,14.9,15.5,0.6,"3,125,516","3,365,644",7.7
South,South Atlantic,West Virginia,54,0,5,"188,794","489,371","34,886",26.5,68.6,4.9,-26.8,-42.2,-15.4,"670,438","713,051",6.4
West,Mountain,Wyoming,56,0,3,"55,973","174,419","25,457",21.9,68.2,10,-40.8,-46.3,-5.5,"249,061","255,849",2.7